,user_id,period_sub,total_fee,refund,personal,smallBiz,middleBiz,bigBiz,sign_in_count,period_use,sfx_free,sfx_peid,song_free,song_peid,etc,kids,vlog,story,beauty,review,talk,game,pet,eating,drone,corporate,freelancer,individual,student,unknown
0,161,516 days,158500.0,0.0,18,0,0,0,67.0,826 days,0.0,0.0,4.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,256,149 days,39700.0,0.0,5,0,0,0,9.0,287 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,592,7 days,0.0,0.0,1,0,0,0,15.0,1268 days,71.0,517.0,6.0,30.0,0.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3,621,14 days,0.0,0.0,1,0,0,0,46.0,954 days,3.0,0.0,81.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
4,1227,355 days,109000.0,0.0,12,0,0,0,9.0,285 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1325,819 days,384000.0,0.0,19,1,0,0,112.0,1336 days,19.0,59.0,49.0,358.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1365,207 days,59500.0,0.0,7,0,0,0,55.0,728 days,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1562,7 days,0.0,0.0,1,0,0,0,17.0,996 days,1.0,7.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1764,119 days,39600.0,0.0,4,0,0,0,43.0,913 days,0.0,0.0,7.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1840,125 days,39600.0,0.0,5,0,0,0,7.0,1217 days,6.0,4.0,1.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1843,7 days,0.0,0.0,1,0,0,0,5.0,1093 days,1.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,2013,92 days,0.0,0.0,0,1,0,0,7.0,953 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,2037,7 days,0.0,0.0,1,0,0,0,17.0,1206 days,18.0,11.0,15.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2290,60 days,10000.0,0.0,2,0,0,0,11.0,271 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2359,31 days,100.0,0.0,1,0,0,0,9.0,277 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,2453,414 days,128800.0,0.0,14,0,0,0,5.0,288 days,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
