id,is_free,download_count,play_count,is_visible,grade,playtime(sec),uploaded_at
1,1,122,1901,1,2.3.F,14,2018-12-21
2,1,34,951,1,2.3.F,2,2018-12-21
3,1,27,588,1,2.3.F,86,2018-12-21
4,1,40,634,1,2.3.F,21,2018-12-21
5,1,34,517,1,2.3.F,20,2018-12-21
6,1,17,347,1,2.3.F,17,2018-12-21
7,1,65,1169,1,2.3.F,2,2018-12-21
8,1,43,616,1,2.3.F,34,2018-12-21
9,1,6,439,1,2.3.F,3,2018-12-21
10,1,14,335,1,2.3.F,13,2018-12-21
11,1,3,349,1,2.3.F,7,2018-12-21
12,1,9,213,1,2.3.F,6,2018-12-21
13,1,15,1063,1,2.3.F,20,2018-12-21
14,1,53,1678,1,2.3.F,18,2018-12-21
15,1,35,1037,1,2.3.F,1,2018-12-21
16,1,24,1478,1,2.3.F,6,2018-12-21
17,1,64,1192,1,2.3.F,9,2018-12-21
18,1,27,521,1,2.3.F,44,2018-12-21
19,1,22,364,1,2.3.F,11,2018-12-21
20,1,29,672,1,2.3.F,5,2018-12-21
21,1,7,412,1,2.3.F,35,2018-12-21
22,1,34,1024,1,2.3.F,12,2018-12-21
23,1,8,470,1,2.3.F,19,2018-12-21
24,1,18,381,1,2.3.F,46,2018-12-21
25,1,5,344,1,2.3.F,14,2018-12-21
26,1,62,999,1,2.3.F,62,2018-12-21
27,1,6,800,1,2.3.F,8,2018-12-21
28,1,13,486,1,2.3.F,18,2018-12-21
29,1,37,1396,1,2.3.F,4,2018-12-21
30,1,12,502,1,2.3.F,6,2018-12-21
31,1,19,378,1,2.3.F,18,2018-12-21
32,1,56,978,1,2.3.F,90,2018-12-21
33,1,41,1020,1,2.3.F,62,2018-12-21
34,1,30,1126,1,2.3.F,14,2018-12-21
35,1,45,698,1,2.3.F,5,2018-12-21
36,1,22,1180,1,2.3.F,8,2018-12-21
37,1,24,498,1,2.3.F,2,2018-12-21
38,1,27,698,1,2.3.F,4,2018-12-21
39,1,24,408,1,2.3.F,41,2018-12-21
40,1,9,794,1,2.3.F,3,2018-12-21
41,1,52,876,1,2.3.F,65,2018-12-21
42,1,78,1223,1,2.3.F,6,2018-12-21
